0 0.25
0.125 0.25
0.25 0.25
0.375 0.25
0.5 0.25
0.625 0.25
0.75 0.25
0.875 0.25
1 0.25
1.125 0.25
1.25 0.25
1.375 0.25
1.5 0.25
1.625 0.25
1.75 0.25
1.875 0.25
2 0.25
2.125 0.25
2.25 0.25
2.375 0.25
2.5 0.25
2.625 0.25
2.75 0.25
2.875 0.25
3 0.25
3.125 0.25
3.25 0.25
3.375 0.25
3.5 0.25
3.625 0.25
3.75 0.25
3.875 0.25
4 0.25
4.125 0.25
4.25 0.25
4.375 0.25
4.5 0.25
4.625 0.25
4.75 0.25
4.875 0.25
5 0.25
5.125 0.25
5.25 0.25
5.375 0.25
5.5 0.25
5.625 0.25
5.75 0.25
5.875 0.25
6 0.25
6.125 0.25
6.25 0.25
6.375 0.25
6.5 0.25
6.625 0.25
6.75 0.25
6.875 0.25
7 0.25
7.125 0.25
7.25 0.25
7.375 0.25
7.5 0.25
7.625 0.25
7.75 0.25
7.875 0.25
8 0.25
8.125 0.25
8.25 0.25
8.375 0.25
8.5 0.25
8.625 0.25
8.75 0.25
8.875 0.25
9 0.25
9.125 0.25
9.25 0.25
9.375 0.25
9.5 0.25
9.625 0.25
9.75 0.25
9.875 0.25
10 0.25
10.125 0.25
10.25 0.25
10.375 0.25
10.5 0.25
10.625 0.25
10.75 0.25
10.875 0.25
11 9.0325e-42
11.125 8.82116e-42
11.25 8.6244e-42
11.375 8.45557e-42
11.5 8.27606e-42
11.625 8.08441e-42
11.75 7.90752e-42
11.875 7.7341e-42
12 7.56549e-42
12.125 7.39582e-42
12.25 7.22343e-42
12.375 7.04939e-42
12.5 6.87263e-42
12.625 6.68506e-42
12.75 6.49824e-42
12.875 6.31373e-42
13 6.12432e-42
13.125 5.92554e-42
13.25 5.72671e-42
13.375 5.52655e-42
13.5 5.33288e-42
13.625 5.1446e-42
13.75 4.95015e-42
13.875 4.75212e-42
14 4.55256e-42
14.125 4.3548e-42
14.25 4.16256e-42
14.375 3.97914e-42
14.5 3.79699e-42
14.625 3.62223e-42
14.75 3.46885e-42
14.875 3.35134e-42
15 3.21855e-42
15.125 3.00834e-42
15.25 2.7832e-42
15.375 2.5754e-42
15.5 2.40039e-42
15.625 2.24746e-42
15.75 2.1068e-42
15.875 1.97535e-42
16 1.87162e-42
16.125 1.77685e-42
16.25 1.65904e-42
16.375 1.54054e-42
16.5 1.41472e-42
16.625 1.2955e-42
16.75 1.19378e-42
16.875 1.10407e-42
17 1.02163e-42
17.125 9.45401e-43
17.25 8.7416e-43
17.375 8.0845e-43
17.5 7.47776e-43
17.625 6.91467e-43
17.75 6.38865e-43
17.875 5.90482e-43
18 5.45436e-43
18.125 5.04169e-43
18.25 4.65941e-43
18.375 4.30414e-43
18.5 3.9741e-43
18.625 3.67e-43
18.75 3.38787e-43
18.875 3.12887e-43
19 2.89205e-43
19.125 2.67427e-43
19.25 2.47138e-43
19.375 2.28551e-43
19.5 2.11594e-43
19.625 1.96082e-43
19.75 1.81873e-43
19.875 1.689e-43
20 1.56949e-43
20.125 1.46134e-43
20.25 1.36202e-43
20.375 1.27231e-43
20.5 1.18942e-43
20.625 1.11343e-43
20.75 1.04395e-43
20.875 9.80067e-44
21 9.21304e-44
21.125 8.66078e-44
21.25 8.1477e-44
21.375 7.67783e-44
21.5 7.23435e-44
21.625 6.81028e-44
21.75 6.41269e-44
21.875 6.03827e-44
22 5.68417e-44
22.125 5.35359e-44
22.25 5.04455e-44
22.375 4.75666e-44
22.5 4.49163e-44
22.625 4.24331e-44
22.75 4.01308e-44
22.875 3.79719e-44
23 3.59595e-44
23.125 3.40583e-44
23.25 3.22922e-44
23.375 3.06513e-44
23.5 2.90943e-44
23.625 2.76323e-44
23.75 2.6269e-44
23.875 2.49998e-44
24 2.38055e-44
24.125 2.26825e-44
24.25 2.16232e-44
24.375 2.06278e-44
24.5 1.96932e-44
24.625 1.88059e-44
24.75 1.79737e-44
24.875 1.71919e-44
25 1.64497e-44
25.125 1.57446e-44
25.25 1.50827e-44
25.375 1.44379e-44
25.5 1.38378e-44
25.625 1.3272e-44
25.75 1.27283e-44
25.875 1.22181e-44
26 1.17366e-44
26.125 1.12798e-44
26.25 1.08406e-44
26.375 1.04237e-44
26.5 1.00313e-44
26.625 9.65471e-45
26.75 9.29228e-45
26.875 8.95115e-45
27 8.62827e-45
27.125 8.31845e-45
27.25 8.02399e-45
27.375 7.74232e-45
27.5 7.47599e-45
27.625 7.21852e-45
27.75 6.97403e-45
27.875 6.74423e-45
28 6.52551e-45
28.125 6.31154e-45
28.25 6.105e-45
28.375 5.91104e-45
28.5 5.72449e-45
28.625 5.54562e-45
28.75 5.37528e-45
28.875 5.21372e-45
29 5.05871e-45
29.125 4.91161e-45
29.25 4.77114e-45
29.375 4.63425e-45
29.5 4.50336e-45
29.625 4.37838e-45
29.75 4.25923e-45
29.875 4.14221e-45
30 4.02893e-45
30.125 3.92231e-45
30.25 3.81896e-45
30.375 3.7183e-45
30.5 3.62011e-45
30.625 3.52846e-45
30.75 3.43954e-45
30.875 3.35436e-45
31 3.27126e-45
31.125 3.19056e-45
31.25 3.113e-45
31.375 3.03687e-45
31.5 2.96462e-45
31.625 2.89461e-45
31.75 2.82731e-45
31.875 2.76244e-45
32 2.70001e-45
32.125 2.63989e-45
32.25 2.58306e-45
32.375 2.5263e-45
32.5 2.47072e-45
32.625 2.41786e-45
32.75 2.36628e-45
32.875 2.31706e-45
33 2.26937e-45
33.125 2.22327e-45
33.25 2.17859e-45
33.375 2.13417e-45
